"flybase_gene_ID" "t0" "t1" "t2" "t4" "t8" "t16" "t24"
"250" "FBgn0001124" 21674 20334 20213 17565 6203 2852 6071
"251" "FBgn0001125" 24630 23480 26622 26620 14600 4472 7647
"252" "FBgn0001128" 4678 4118 3197 2387 1131 750 1456
"253" "FBgn0001133" 4724 3336 2376 1300 737 614 1314
"254" "FBgn0001134" 12 3 0 6 0 1 11
"255" "FBgn0001137" 14446 12480 12714 11217 6116 3231 2472
"256" "FBgn0001138" 1 2 0 0 0 2 6
"257" "FBgn0001139" 9765 7150 3086 4684 3476 2250 7338
"258" "FBgn0001142" 1256 1092 1004 793 285 173 486
"259" "FBgn0001145" 511 418 288 543 507 353 769
"260" "FBgn0001147" 4 1 0 6 3 5 0
"261" "FBgn0001148" 4 1 0 0 6 0 1
"262" "FBgn0001149" 68712 61999 52504 47519 24361 11097 13402
"263" "FBgn0001150" 105 32 27 29 14 19 34
"264" "FBgn0001168" 15706 2605 1250 3850 5415 4755 6635
"265" "FBgn0001169" 2323 940 374 644 613 466 1182
"266" "FBgn0001170" 5 1 3 1 0 10 1
"267" "FBgn0001174" 3 0 0 0 0 0 0
"268" "FBgn0001179" 14186 9514 5695 2846 1780 1403 3507
"269" "FBgn0001180" 0 0 0 0 3 2 0
"270" "FBgn0001185" 4781 2895 1278 825 607 619 1312
"271" "FBgn0001186" 6251 3399 927 1544 1232 1288 4210
"272" "FBgn0001187" 45 27 4 9 4 12 20
"273" "FBgn0001189" 9051 6333 5694 3078 1302 1001 2898
"274" "FBgn0001197" 31243 27445 16754 25516 17443 12005 22066
"275" "FBgn0001202" 6008 5482 5321 3844 1772 1133 2474
"276" "FBgn0001206" 1801 735 367 395 426 284 1069
"277" "FBgn0001208" 12 4 20 10 7 0 0
"278" "FBgn0001215" 45277 34804 18707 20300 10727 8219 14661
"279" "FBgn0001216" 67 34 32 26 19 55 30
"280" "FBgn0001217" 10 2 8 11 8 2 10
"281" "FBgn0001218" 151983 128045 81680 117688 81368 53583 86869
"282" "FBgn0001220" 78145 71111 61198 44979 22936 15301 26236
"283" "FBgn0001222" 9113 3627 1712 1406 976 904 2245
"284" "FBgn0001223" 0 0 0 0 0 0 0
"285" "FBgn0001224" 23660 18152 13914 17967 21574 12919 8187
"286" "FBgn0001225" 36932 27168 15750 22622 23433 14141 8123
"287" "FBgn0001226" 2232 1766 699 1732 1894 1263 1132
"288" "FBgn0001227" 0 0 1 1 2 18 0
"289" "FBgn0001228" 0 0 1 0 0 0 1
"290" "FBgn0001229" 67 45 45 52 81 65 12
"291" "FBgn0001230" 9692 5453 3636 5867 6637 4668 3471
"292" "FBgn0001233" 682584 572538 407472 391180 206416 139416 185080
"293" "FBgn0001234" 8978 4380 3596 4961 5877 6531 5054
"294" "FBgn0001235" 0 0 0 0 0 0 0
"295" "FBgn0001247" 10489 9065 9341 8039 3713 2241 5228
"296" "FBgn0001248" 36516 33958 37417 35571 17413 7196 17645
"297" "FBgn0001250" 67 42 56 37 30 27 42
"298" "FBgn0001253" 2 0 1 0 1 1 0
"299" "FBgn0001254" 1 0 1 1 1 0 3
"300" "FBgn0001255" 325 233 158 81 59 46 32
"301" "FBgn0001256" 1 3 3 0 0 0 0
"302" "FBgn0001257" 115884 79843 51736 56533 34904 14494 11321
"303" "FBgn0001258" 30212 25636 21527 20140 15062 8860 7514
"304" "FBgn0001259" 87 50 60 79 171 192 166
"305" "FBgn0001263" 633 544 402 458 587 809 658
"306" "FBgn0001269" 0 0 0 0 0 0 0
"307" "FBgn0001276" 2697 1862 770 246 242 328 499
"308" "FBgn0001280" 17939 18227 18598 21401 16427 3914 2952
"309" "FBgn0001281" 59 23 25 21 35 10 6
"310" "FBgn0001285" 0 0 0 0 0 0 0
"311" "FBgn0001291" 15175 7583 3618 2120 1785 1614 3557
"312" "FBgn0001296" 691 471 456 477 416 167 161
"313" "FBgn0001297" 42218 15047 5386 11047 8951 7117 14526
"314" "FBgn0001301" 2748 1468 733 831 778 602 2040
"315" "FBgn0001308" 12454 9527 7181 5418 3498 3071 9046
"316" "FBgn0001311" 0 0 0 1 2 0 0
"317" "FBgn0001313" 1 2 0 2 2 6 3
"318" "FBgn0001316" 10209 7439 5361 5826 4782 3654 10351
"319" "FBgn0001319" 1 5 1 1 0 0 0
"320" "FBgn0001320" 0 0 1 0 0 0 0
"321" "FBgn0001321" 3 0 0 3 11 8 5
"322" "FBgn0001323" 0 0 1 1 0 0 1
"323" "FBgn0001324" 2729 2282 1582 1197 876 462 3319
"324" "FBgn0001325" 1 0 1 1 0 2 0
"325" "FBgn0001330" 7221 3945 1948 753 611 463 1180
"326" "FBgn0001341" 5830 4329 2893 1733 701 525 1191
"327" "FBgn0001404" 11940 7270 3400 3384 2533 1886 5634
"328" "FBgn0001491" 6804 6161 3877 3092 1550 1264 1563
"329" "FBgn0001565" 17351 12079 8866 4913 3618 3051 5488
"330" "FBgn0001612" 5512 4082 3017 1754 894 823 2424
"331" "FBgn0001624" 4553 3438 1444 3881 2942 2045 6275
"332" "FBgn0001941" 59149 50211 42484 25153 11751 8652 11102
"333" "FBgn0001942" 435051 467896 469274 799527 1013169 721368 734953
"334" "FBgn0001961" 73953 67548 78938 69411 33726 9966 18225
"335" "FBgn0001965" 4910 3496 1758 1490 1060 749 2813
"336" "FBgn0001967" 0 0 0 0 0 0 0
"337" "FBgn0001970" 2 0 0 0 0 0 0
"338" "FBgn0001974" 11144 8836 4804 2518 1508 1126 1362
"339" "FBgn0001977" 23631 15730 8563 3988 2988 2122 2727
"340" "FBgn0001978" 22073 15860 12199 10810 6829 4614 7846
"341" "FBgn0001981" 18 6 13 13 24 17 4
"342" "FBgn0001983" 0 1 0 0 0 0 0
"343" "FBgn0001986" 17666 11421 8549 3740 2361 2193 4084
"344" "FBgn0001987" 4575 2598 1710 1407 901 495 812
"345" "FBgn0001989" 9104 9218 8409 10468 9217 4174 4206
"346" "FBgn0001990" 4441 3709 2966 1656 786 568 1129
"347" "FBgn0001991" 1 3 2 4 3 4 16
"348" "FBgn0001992" 47 6 16 17 4 27 17
"349" "FBgn0001994" 3280 1354 439 939 1100 1156 2340
"350" "FBgn0001995" 11736 11596 10589 7197 2259 1151 1861
"351" "FBgn0002021" 6655 6051 5826 3841 1314 663 1587
"352" "FBgn0002022" 23088 23973 25172 29493 17733 4037 5251
"353" "FBgn0002023" 4 1 0 2 1 0 0
"354" "FBgn0002031" 97073 91888 90731 68143 20664 8778 11061
"355" "FBgn0002036" 1749 790 364 192 135 139 220
"356" "FBgn0002044" 11686 5741 2343 2459 2166 1854 5121
"357" "FBgn0002069" 10767 9702 10247 6967 3419 1098 2448
"358" "FBgn0002121" 14256 9965 5053 6152 3422 3058 7090
"359" "FBgn0002174" 7421 6966 6881 6466 2890 1283 2616
"360" "FBgn0002183" 30876 27725 28972 21892 9937 5776 15210
"361" "FBgn0002283" 7182 3951 2549 1661 1454 1152 1481
"362" "FBgn0002284" 75461 77843 83285 98943 91238 21146 11619
"363" "FBgn0002306" 8 10 8 6 10 2 6
"364" "FBgn0002354" 4350 4296 3816 2618 1169 782 1058
"365" "FBgn0002413" 26813 17544 9597 5677 3399 3002 7168
"366" "FBgn0002431" 15867 14555 12836 11812 5498 3493 9559
"367" "FBgn0002440" 0 0 0 0 0 0 0
"368" "FBgn0002441" 6367 2573 1753 1645 1398 1357 3943
"369" "FBgn0002466" 5699 4672 4125 4213 2695 1778 4814
"370" "FBgn0002521" 7629 4722 1811 2024 1144 1597 2101
"371" "FBgn0002522" 3 2 4 5 4 0 0
"372" "FBgn0002524" 71107 60005 57067 32359 10566 7159 17736
"373" "FBgn0002525" 26109 24688 14574 22540 11977 8364 17200
"374" "FBgn0002526" 72578 70072 68060 82973 53048 32457 67650
"375" "FBgn0002531" 1 1 0 5 0 6 9
"376" "FBgn0002533" 0 1 1 0 0 0 0
"377" "FBgn0002534" 7 1 7 0 1 0 0
"378" "FBgn0002535" 1 0 0 1 1 1 0
"379" "FBgn0002542" 14302 12071 10889 6312 2868 1864 4202
"380" "FBgn0002543" 62 54 85 77 106 14 235
"381" "FBgn0002552" 5830 2427 1184 1037 813 465 1830
"382" "FBgn0002561" 0 0 0 0 0 0 0
"383" "FBgn0002562" 0 0 0 0 0 0 0
"384" "FBgn0002563" 1 9 5 3 17 14 5
"385" "FBgn0002564" 4 3 7 6 0 4 27
"386" "FBgn0002565" 0 0 0 2 1 0 0
"387" "FBgn0002566" 16789 15223 13152 10582 4438 3012 5779
"388" "FBgn0002567" 279 166 112 85 78 44 111
"389" "FBgn0002569" 7 1 4 1 2 14 8
"390" "FBgn0002570" 8 10 1 2 12 11 2
"391" "FBgn0002571" 0 1 0 2 1 0 12
"392" "FBgn0002573" 0 0 0 0 0 0 0
"393" "FBgn0002576" 5 3 0 5 2 9 21
"394" "FBgn0002577" 372 105 42 99 60 75 229
"395" "FBgn0002578" 7 6 4 8 13 6 0
"396" "FBgn0002579" 24563 26801 29420 42392 75090 83005 89038
"397" "FBgn0002590" 182184 211035 217652 347403 604264 570684 557798
"398" "FBgn0002592" 59 5 6 7 5 17 11
"399" "FBgn0002593" 212398 232323 257480 376450 683697 682268 725200
"400" "FBgn0002607" 280912 295303 356817 489296 814390 714221 675554
"401" "FBgn0002609" 652 121 65 96 165 150 384
"402" "FBgn0002622" 366569 398937 405895 636613 985168 728921 752609
"403" "FBgn0002626" 74581 80583 84098 125584 218214 239148 260327
"404" "FBgn0002629" 0 0 1 0 0 0 0
"405" "FBgn0002631" 0 0 0 0 0 0 0
"406" "FBgn0002632" 0 1 0 0 0 0 0
"407" "FBgn0002633" 4 0 0 0 0 0 0
"408" "FBgn0002638" 34017 29247 29691 29836 17224 5895 8449
"409" "FBgn0002641" 14017 8991 7140 3339 1632 1291 1901
"410" "FBgn0002643" 3790 2746 1574 1805 1180 885 2250
"411" "FBgn0002645" 22030 16609 7918 12833 6411 4893 9410
"412" "FBgn0002673" 702 142 79 80 77 121 230
"413" "FBgn0002707" 2774 1555 1213 633 432 255 814
"414" "FBgn0002709" 196 103 50 51 29 73 98
"415" "FBgn0002715" 1219 640 236 194 177 191 447
"416" "FBgn0002716" 206 175 96 83 79 50 105
"417" "FBgn0002719" 19326 16834 14690 15087 7557 4051 13336
"418" "FBgn0002723" 1043 212 50 141 162 285 624
"419" "FBgn0002732" 54 21 8 25 21 29 12
"420" "FBgn0002733" 3277 857 687 815 872 849 1079
"421" "FBgn0002734" 210 30 27 19 13 2 40
"422" "FBgn0002735" 17 7 0 6 13 0 4
"423" "FBgn0002736" 13909 13567 11642 11534 5196 2263 3215
"424" "FBgn0002772" 0 4 0 3 3 5 0
"425" "FBgn0002773" 272 278 208 244 116 56 86
"426" "FBgn0002774" 7667 5206 4480 3758 1797 1336 3024
